NOMBRE,CODIGO
UNI,990
M/QS,497
KS,499
IND,495
MAT,496
QS,498
G,647
CH,645
4A,726
5A,727
6A,728
7A,729
8A,730
9A,731
10A,732
11A,733
12A,734
6M,536
9M,537
12M,538
18M,539
24M,542
M,646
EG,648
EEG,649
ECH,644
14A,736
STD,500
2A,724
34b,667
36b,671
36c,672
38b,674
38c,675
40b,677
32b,664
42b,681
38DD,814
40D,818
40DD,819
42D,823
42DD,824
34C,980
36D,983
38D,986
40C,988
32C,695
EECH,643
I/MT,532
CH/M,652
G/EG,654
34d,669
42C,991
SH,502
L,505
MN,995
MB,996
B,997
3A,725
24,440
25,460
